iter	Passed	Remaining
0	4	4105
1	7	3943
2	11	3903
3	15	3794
4	18	3728
5	22	3688
6	25	3653
7	29	3643
8	33	3645
9	36	3632
10	40	3612
11	43	3594
12	47	3583
13	50	3585
14	54	3583
15	58	3572
16	61	3573
17	65	3567
18	68	3558
19	72	3549
20	76	3553
21	81	3634
22	85	3639
23	89	3643
24	93	3641
25	96	3629
26	100	3615
27	103	3605
28	107	3600
29	111	3593
30	114	3587
31	118	3578
32	121	3571
33	125	3571
34	129	3571
35	133	3585
36	137	3584
37	141	3583
38	145	3584
39	149	3587
40	153	3587
41	157	3593
42	161	3592
43	165	3592
44	169	3592
45	173	3597
46	177	3602
47	181	3605
48	185	3608
49	189	3609
50	194	3612
51	198	3616
52	203	3637
53	208	3652
54	213	3660
55	217	3669
56	222	3678
57	227	3688
58	231	3694
59	236	3700
60	241	3711
61	245	3720
62	250	3731
63	255	3743
64	261	3760
65	266	3773
66	272	3790
67	277	3804
68	283	3821
69	289	3840
70	294	3854
71	300	3869
72	305	3885
73	311	3899
74	317	3914
75	323	3928
76	329	3945
77	337	3993
78	344	4019
79	351	4045
80	358	4065
81	364	4079
82	370	4096
83	376	4109
84	382	4115
85	387	4122
86	393	4125
87	398	4133
88	404	4138
89	409	4141
90	415	4145
91	421	4155
92	426	4157
93	431	4159
94	437	4165
95	442	4167
96	447	4169
97	453	4173
98	458	4174
99	464	4178
100	469	4183
101	475	4184
102	480	4185
103	486	4188
104	491	4191
105	497	4193
106	502	4193
107	507	4191
108	512	4189
109	518	4196
110	523	4194
111	528	4192
112	534	4191
113	538	4188
114	544	4187
115	549	4187
116	554	4186
117	559	4185
118	565	4183
119	570	4181
120	575	4178
121	580	4175
122	585	4175
123	590	4174
124	595	4171
125	601	4171
126	606	4172
127	612	4172
128	618	4174
129	623	4172
130	628	4169
131	633	4167
132	639	4166
133	644	4163
134	649	4162
135	654	4159
136	659	4155
137	664	4153
138	670	4151
139	675	4147
140	680	4144
141	685	4143
142	691	4143
143	697	4146
144	703	4148
145	709	4149
146	717	4161
147	723	4162
148	730	4170
149	737	4177
150	744	4184
151	751	4191
152	757	4192
153	763	4193
154	768	4192
155	774	4191
156	780	4190
157	786	4190
158	792	4189
159	797	4188
160	803	4189
161	811	4196
162	818	4202
163	825	4206
164	831	4208
165	837	4209
166	844	4213
167	851	4215
168	857	4216
169	865	4226
170	871	4224
171	877	4222
172	882	4218
173	887	4214
174	893	4211
175	898	4206
176	903	4202
177	909	4199
178	914	4194
179	919	4190
180	926	4190
181	931	4186
182	936	4181
183	942	4179
184	947	4175
185	953	4171
186	958	4168
187	964	4163
188	969	4158
189	974	4155
190	980	4152
191	985	4148
192	991	4146
193	997	4142
194	1002	4137
195	1007	4134
196	1013	4130
197	1018	4125
198	1024	4122
199	1029	4118
200	1035	4115
201	1040	4111
202	1046	4107
203	1051	4103
204	1057	4099
205	1062	4094
206	1068	4091
207	1073	4087
208	1078	4083
209	1084	4078
210	1089	4074
211	1094	4069
212	1100	4064
213	1105	4060
214	1111	4058
215	1114	4045
216	1120	4041
217	1125	4038
218	1131	4034
219	1137	4032
220	1142	4028
221	1147	4023
222	1153	4020
223	1159	4016
224	1164	4011
225	1170	4007
226	1179	4017
227	1186	4015
228	1192	4014
229	1198	4013
230	1205	4011
231	1211	4009
232	1219	4014
233	1226	4014
234	1233	4013
235	1239	4012
236	1245	4010
237	1252	4010
238	1258	4008
239	1265	4007
240	1271	4005
241	1277	4002
242	1284	4001
243	1291	4001
244	1298	4001
245	1305	4001
246	1312	4001
247	1319	4001
248	1326	4001
249	1334	4002
250	1340	4000
251	1347	3998
252	1353	3994
253	1358	3991
254	1364	3987
255	1370	3982
256	1375	3977
257	1381	3973
258	1393	3987
259	1399	3984
260	1404	3978
261	1410	3972
262	1416	3968
263	1421	3962
264	1427	3958
265	1432	3952
266	1437	3947
267	1444	3946
268	1451	3944
269	1457	3940
270	1463	3937
271	1469	3933
272	1474	3927
273	1480	3923
274	1486	3918
275	1491	3912
276	1498	3910
277	1504	3906
278	1509	3900
279	1515	3895
280	1520	3890
281	1526	3885
282	1531	3879
283	1536	3873
284	1541	3866
285	1546	3861
286	1551	3855
287	1556	3848
288	1562	3843
289	1567	3837
290	1572	3831
291	1578	3826
292	1583	3819
293	1588	3814
294	1593	3807
295	1598	3801
